table,rows,columns,column,dtype,missing_count,missing_pct,candidate_keys,timestamp_candidates
admissiondrug.csv.gz,7417,14,admissiondrugid,int64,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,patientunitstayid,int64,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,drugoffset,int64,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,drugenteredoffset,int64,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,drugnotetype,str,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,specialtytype,str,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,usertype,str,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,rxincluded,bool,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,writtenineicu,bool,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,drugname,str,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,drugdosage,float64,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,drugunit,str,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,drugadmitfrequency,str,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissiondrug.csv.gz,7417,14,drughiclseqno,int64,0,0.0,patientunitstayid,drugenteredoffset;drugoffset
admissionDx.csv.gz,7578,6,admissiondxid,int64,0,0.0,patientunitstayid,admitdxenteredoffset
admissionDx.csv.gz,7578,6,patientunitstayid,int64,0,0.0,patientunitstayid,admitdxenteredoffset
admissionDx.csv.gz,7578,6,admitdxenteredoffset,int64,0,0.0,patientunitstayid,admitdxenteredoffset
admissionDx.csv.gz,7578,6,admitdxpath,str,0,0.0,patientunitstayid,admitdxenteredoffset
admissionDx.csv.gz,7578,6,admitdxname,str,0,0.0,patientunitstayid,admitdxenteredoffset
admissionDx.csv.gz,7578,6,admitdxtext,str,0,0.0,patientunitstayid,admitdxenteredoffset
allergy.csv.gz,2475,13,allergyid,int64,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,patientunitstayid,int64,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,allergyoffset,int64,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,allergyenteredoffset,int64,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,allergynotetype,str,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,specialtytype,str,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,usertype,str,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,rxincluded,bool,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,writtenineicu,bool,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,drugname,str,995,40.2020202020202,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,allergytype,str,0,0.0,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,allergyname,str,3,0.12121212121212122,patientunitstayid,allergyenteredoffset;allergyoffset
allergy.csv.gz,2475,13,drughiclseqno,float64,995,40.2020202020202,patientunitstayid,allergyenteredoffset;allergyoffset
apacheApsVar.csv.gz,2205,26,apacheapsvarid,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,patientunitstayid,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,intubated,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,vent,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,dialysis,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,eyes,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,motor,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,verbal,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,meds,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,urine,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,wbc,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,temperature,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,respiratoryrate,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,sodium,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,heartrate,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,meanbp,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,ph,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,hematocrit,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,creatinine,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,albumin,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,pao2,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,pco2,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,bun,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,glucose,int64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,bilirubin,float64,0,0.0,patientunitstayid,
apacheApsVar.csv.gz,2205,26,fio2,int64,0,0.0,patientunitstayid,
apachePatientResult.csv.gz,3676,23,apachepatientresultsid,int64,0,0.0,patientunitstayid,
apachePatientResult.csv.gz,3676,23,patientunitstayid,int64,0,0.0,patientunitstayid,
apachePatientResult.csv.gz,3676,23,physicianspeciality,str,0,0.0,patientunitstayid,
apachePatientResult.csv.gz,3676,23,physicianinterventioncategory,str,0,0.0,patientunitstayid,
apachePatientResult.csv.gz,3676,23,acutephysiologyscore,int64,0,0.0,patientunitstayid,
apachePatientResult.csv.gz,3676,23,apachescore,int64,0,0.0,patientunitstayid,
apachePatientResult.csv.gz,3676,23,apacheversion,str,0,0.0,patientunitstayid,
