tau,patient_days,n_alarms,alarms_per_patient_day,false_alarms_per_patient_day,alarm_precision,n_events,events_detected,event_sensitivity,warning_h_median,warning_h_q25,warning_h_q75
0.05,615.5833333333334,7664,12.449979694057127,12.006497901719236,0.03562108559498956,76,61,0.8026315789473685,5.2,4.066666666666666,5.483333333333333
0.1,615.5833333333334,3839,6.236361175037227,5.865980777040747,0.0593904662672571,76,52,0.6842105263157895,5.175000000000001,3.5458333333333334,5.454166666666667
0.15,615.5833333333334,2256,3.6648165696493837,3.328550155678895,0.09175531914893617,76,50,0.6578947368421053,5.158333333333333,3.504166666666667,5.4625
0.2,615.5833333333334,1439,2.3376201434953296,2.043590090699878,0.12578179291174427,76,43,0.5657894736842105,5.15,2.625,5.533333333333333
0.25,615.5833333333334,1013,1.6455936103966426,1.3856775416271827,0.1579466929911155,76,41,0.5394736842105263,5.066666666666666,2.566666666666667,5.433333333333334
0.3,615.5833333333334,767,1.245972654663598,1.0315418979287938,0.17209908735332463,76,39,0.5131578947368421,4.6,2.625,5.2
0.35,615.5833333333334,586,0.9519426018681467,0.7764992554487613,0.18430034129692832,76,34,0.4473684210526316,3.55,1.5291666666666668,5.195833333333334
0.4,615.5833333333334,447,0.7261405171246784,0.5864356301610938,0.19239373601789708,76,28,0.3684210526315789,3.158333333333333,1.6208333333333333,5.2125
0.45,615.5833333333334,302,0.49059157980235546,0.3866251522945715,0.2119205298013245,76,22,0.2894736842105263,3.275,1.8,5.158333333333333
0.5,615.5833333333334,176,0.28590767564640585,0.209557330445377,0.26704545454545453,76,18,0.23684210526315788,3.033333333333333,1.6625,4.6125
0.55,615.5833333333334,107,0.17381887098957627,0.10883985379721131,0.37383177570093457,76,16,0.21052631578947367,2.3833333333333337,1.4666666666666668,4.370833333333334
0.6,615.5833333333334,64,0.10396642750778394,0.05198321375389197,0.5,76,13,0.17105263157894737,2.566666666666667,1.1833333333333333,3.6666666666666665
0.65,615.5833333333334,37,0.060105590902937586,0.02436713144713686,0.5945945945945946,76,9,0.11842105263157894,3.25,2.566666666666667,4.2
0.7,615.5833333333334,17,0.027616082306755108,0.011371328008663868,0.5882352941176471,76,5,0.06578947368421052,2.8833333333333333,2.566666666666667,4.733333333333333
0.75,615.5833333333334,4,0.006497901719236496,0.001624475429809124,0.75,76,1,0.013157894736842105,3.7333333333333334,3.7333333333333334,3.7333333333333334
0.8,615.5833333333334,3,0.004873426289427372,0.001624475429809124,0.6666666666666666,76,1,0.013157894736842105,2.7333333333333334,2.7333333333333334,2.7333333333333334
0.85,615.5833333333334,0,0.0,0.0,,76,0,0.0,,,
0.9,615.5833333333334,0,0.0,0.0,,76,0,0.0,,,
0.95,615.5833333333334,0,0.0,0.0,,76,0,0.0,,,
