table,column,n_missing,pct_missing
patient,patientunitstayid,0,0.0
patient,patienthealthsystemstayid,0,0.0
patient,gender,4,0.159
patient,age,4,0.159
patient,ethnicity,39,1.548
patient,hospitalid,0,0.0
patient,wardid,0,0.0
patient,apacheadmissiondx,299,11.865
patient,admissionheight,69,2.738
patient,hospitaladmittime24,0,0.0
patient,hospitaladmitoffset,0,0.0
patient,hospitaladmitsource,594,23.571
patient,hospitaldischargeyear,0,0.0
patient,hospitaldischargetime24,0,0.0
patient,hospitaldischargeoffset,0,0.0
patient,hospitaldischargelocation,32,1.27
patient,hospitaldischargestatus,28,1.111
patient,unittype,0,0.0
patient,unitadmittime24,0,0.0
patient,unitadmitsource,22,0.873
patient,unitvisitnumber,0,0.0
patient,unitstaytype,0,0.0
patient,admissionweight,198,7.857
patient,dischargeweight,1284,50.952
patient,unitdischargetime24,0,0.0
patient,unitdischargeoffset,0,0.0
patient,unitdischargelocation,4,0.159
patient,unitdischargestatus,2,0.079
patient,uniquepid,0,0.0
vitalperiodic,vitalperiodicid,0,0.0
vitalperiodic,patientunitstayid,0,0.0
vitalperiodic,observationoffset,0,0.0
vitalperiodic,temperature,1522140,93.1
vitalperiodic,sao2,193260,11.82
vitalperiodic,heartrate,7066,0.432
vitalperiodic,respiration,253609,15.512
vitalperiodic,cvp,1432676,87.628
vitalperiodic,etco2,1562180,95.549
vitalperiodic,systemicsystolic,1408485,86.148
vitalperiodic,systemicdiastolic,1408489,86.148
vitalperiodic,systemicmean,1406560,86.03
vitalperiodic,pasystolic,1602877,98.038
vitalperiodic,padiastolic,1602880,98.038
vitalperiodic,pamean,1602328,98.004
vitalperiodic,st1,1021693,62.49
vitalperiodic,st2,977997,59.818
vitalperiodic,st3,1038588,63.524
vitalperiodic,icp,1621767,99.193
vitalaperiodic,vitalaperiodicid,0,0.0
vitalaperiodic,patientunitstayid,0,0.0
vitalaperiodic,observationoffset,0,0.0
vitalaperiodic,noninvasivesystolic,32280,11.777
vitalaperiodic,noninvasivediastolic,32265,11.772
vitalaperiodic,noninvasivemean,30910,11.277
vitalaperiodic,paop,273919,99.938
vitalaperiodic,cardiacoutput,259853,94.806
vitalaperiodic,cardiacinput,262223,95.671
vitalaperiodic,svr,256299,93.51
vitalaperiodic,svri,270648,98.745
vitalaperiodic,pvr,273919,99.938
vitalaperiodic,pvri,273920,99.939
lab,labid,0,0.0
lab,patientunitstayid,0,0.0
lab,labresultoffset,0,0.0
lab,labtypeid,0,0.0
lab,labname,0,0.0
lab,labresult,2721,0.626
lab,labresulttext,21,0.005
lab,labmeasurenamesystem,18906,4.35
lab,labmeasurenameinterface,18897,4.348
lab,labresultrevisedoffset,0,0.0
note,noteid,0,0.0
note,patientunitstayid,0,0.0
note,noteoffset,0,0.0
note,noteenteredoffset,0,0.0
note,notetype,0,0.0
note,notepath,0,0.0
note,notevalue,0,0.0
note,notetext,232,0.937
nursecharting,nursingchartid,0,0.0
nursecharting,patientunitstayid,0,0.0
nursecharting,nursingchartoffset,0,0.0
nursecharting,nursingchartentryoffset,0,0.0
nursecharting,nursingchartcelltypecat,0,0.0
nursecharting,nursingchartcelltypevallabel,0,0.0
nursecharting,nursingchartcelltypevalname,0,0.0
nursecharting,nursingchartvalue,2651,0.179
nurseassessment,nurseassessid,0,0.0
nurseassessment,patientunitstayid,0,0.0
nurseassessment,nurseassessoffset,0,0.0
nurseassessment,nurseassessentryoffset,0,0.0
nurseassessment,cellattributepath,0,0.0
nurseassessment,celllabel,0,0.0
nurseassessment,cellattribute,0,0.0
nurseassessment,cellattributevalue,1255,1.37
physicalexam,physicalexamid,0,0.0
physicalexam,patientunitstayid,0,0.0
physicalexam,physicalexamoffset,0,0.0
physicalexam,physicalexampath,0,0.0
physicalexam,physicalexamvalue,0,0.0
physicalexam,physicalexamtext,612,0.728
