ablation_set,split,horizon_h,auroc,auprc,brier,n,n_pos
all,validation,1,0.7654740985199154,0.03309160791435382,0.00417409890285898,14774,38
all,validation,3,0.7946420598532459,0.138473365877088,0.01854881194610141,14774,178
all,validation,6,0.7897273219349169,0.19807010288293433,0.03179855059492008,14774,349
all,test,1,0.8338527334164374,0.021535241655183,0.004224576104715409,12485,41
all,test,3,0.8233528906449687,0.0833431512006655,0.018086587493747648,12485,169
all,test,6,0.8027108995155352,0.11749662683087664,0.03185936841908477,12485,322
lab,validation,1,0.604277387279273,0.0302465393938766,0.0033729464623503138,14774,38
lab,validation,3,0.6204616625764793,0.02132960707861138,0.016941623518145016,14774,178
lab,validation,6,0.6166443366290415,0.03847156147439855,0.03224211949324307,14774,349
lab,test,1,0.6267159802745568,0.005792851232517557,0.004114335652937099,12485,41
lab,test,3,0.6428026466750327,0.03165554151137071,0.018291510695491547,12485,169
lab,test,6,0.6512220393485384,0.046988069922589706,0.03337682491544628,12485,322
lab+text,validation,1,0.584106591805246,0.012126191251666169,0.0035228800206177566,14774,38
lab+text,validation,3,0.5967086180298742,0.018172373728981225,0.017938150520700104,14774,178
lab+text,validation,6,0.5955872932319627,0.03350147870470348,0.03412930891620575,14774,349
lab+text,test,1,0.6031195364991258,0.005492495591089294,0.004185028874785152,12485,41
lab+text,test,3,0.6257026507107702,0.023146783413245116,0.01885633978839892,12485,169
lab+text,test,6,0.6351218924311233,0.04556949668402257,0.034475075161536674,12485,322
phys,validation,1,0.7677956597519857,0.032997340785168756,0.006374202422455349,14774,38
phys,validation,3,0.8009201381939333,0.10361794767011685,0.026288857169417222,14774,178
phys,validation,6,0.792640522810903,0.15724817788158077,0.04014212645398148,14774,349
phys,test,1,0.8625040180006428,0.027297086550657004,0.005845486078515485,12485,41
phys,test,3,0.8476595605658489,0.09318187447735596,0.02381358442410408,12485,169
phys,test,6,0.8275042984961518,0.12431026331097779,0.038389546032554296,12485,322
phys+lab,validation,1,0.7711601377221554,0.034192270114474614,0.003931142729326622,14774,38
phys+lab,validation,3,0.8053572473295746,0.1352923340345922,0.017515707350619334,14774,178
phys+lab,validation,6,0.7982255813838002,0.20189034675931694,0.030388084032698846,14774,349
phys+lab,test,1,0.8317457330793172,0.02501178790770333,0.004150053201073895,12485,41
phys+lab,test,3,0.8253390499874124,0.09860651645603939,0.017924421874095566,12485,169
phys+lab,test,6,0.8090890660658561,0.11802043847630286,0.03171085016886322,12485,322
phys+text,validation,1,0.7634168381050346,0.03013944271019287,0.006681256227381678,14774,38
phys+text,validation,3,0.7919862606655356,0.10077619086578797,0.027203459293471902,14774,178
phys+text,validation,6,0.7842717742696389,0.14964282453126476,0.04135165167243376,14774,349
phys+text,test,1,0.8650030184004829,0.026116914314432787,0.0057969440599797695,12485,41
phys+text,test,3,0.8461322261319764,0.0891767541792928,0.023276120664628985,12485,169
phys+text,test,6,0.8245393957746816,0.12558921932994144,0.03752324706342428,12485,322
text,validation,1,0.41433349762843596,0.0022194341972615692,0.0033929346758670405,14774,38
text,validation,3,0.4570847869664153,0.01241011981311137,0.016484483245951205,14774,178
text,validation,6,0.47459887869774,0.02678371466775125,0.030635175751060107,14774,349
text,test,1,0.5763949322231892,0.004127492119443247,0.004158824172066744,12485,41
text,test,3,0.5647512448328147,0.015544785858499445,0.017996905653921442,12485,169
text,test,6,0.5649812101971001,0.029144488504980314,0.032566151096597856,12485,322
