model,split,horizon_h,auroc,auprc,brier,n,n_pos
logistic,validation,1,0.6999274958569062,0.01149579388920763,0.13419915503624588,14774,38
logistic,validation,3,0.7251613494231143,0.05932339663952856,0.15106696449334123,14774,178
logistic,validation,6,0.7316047335044917,0.09071345814217355,0.16847761994340352,14774,349
logistic,test,1,0.7221954355512697,0.012546652753522304,0.13463930657147405,12485,41
logistic,test,3,0.7366945580963619,0.048292160682674626,0.15170749627070557,12485,169
logistic,test,6,0.7536025917110388,0.088047165550455,0.1633747964258156,12485,322
phys_only,validation,1,0.8043602491570948,0.06192432729219003,0.005735713257368492,14774,38
phys_only,validation,3,0.8254955182426461,0.12604452726891,0.023908773483265824,14774,178
phys_only,validation,6,0.8153524057346317,0.17553530894057368,0.03566702605374955,14774,349
phys_only,test,1,0.8646129783380766,0.0917834697411785,0.005151813947200761,12485,41
phys_only,test,3,0.842859435265811,0.10119819843955649,0.02278117606564839,12485,169
phys_only,test,6,0.819631169369685,0.12655088749885676,0.03602204122824075,12485,322
lab_only,validation,1,0.5722684153380193,0.007520857123236465,0.0047054484842772295,14774,38
lab_only,validation,3,0.6159046575789581,0.024486556280977637,0.022483507389305664,14774,178
lab_only,validation,6,0.6077264578667448,0.03844700009640501,0.04141853672769142,14774,349
lab_only,test,1,0.6390796622527459,0.006023821847124307,0.005783277051655217,12485,41
lab_only,test,3,0.6587594239273106,0.027843914559271196,0.023510850534426624,12485,169
lab_only,test,6,0.6590130795820539,0.05265604049549178,0.041391279826858536,12485,322
text_only,validation,1,0.42057403280187433,0.0029795517188110137,0.00400819281168053,14774,38
text_only,validation,3,0.47212411588829933,0.014690687098030142,0.021133513097533717,14774,178
text_only,validation,6,0.48302443723835864,0.027726662013086056,0.03773464547083699,14774,349
text_only,test,1,0.5290550446488071,0.003556610105249265,0.0046581827233806985,12485,41
text_only,test,3,0.5277740409838744,0.013646997615422008,0.022268495624375544,12485,169
text_only,test,6,0.5292201989232185,0.025862168877380708,0.03903513686458239,12485,322
concat_all,validation,1,0.7701957969026803,0.08199406462409764,0.0052035422398252745,14774,38
concat_all,validation,3,0.8041403909336404,0.13754001178413827,0.021036736766698712,14774,178
concat_all,validation,6,0.7923326364507656,0.19967262457971124,0.032411171070373286,14774,349
concat_all,test,1,0.8566984970717596,0.04804473197086488,0.005678591450825269,12485,41
concat_all,test,3,0.8332149837321347,0.07704983815120788,0.024710754858309782,12485,169
concat_all,test,6,0.8046317540775072,0.10339465590950071,0.0396629759531303,12485,322
