model,horizon,coef,intercept
concat_all,1,0.6067521623758445,-3.2162693004772636
concat_all,3,0.6718564054335243,-2.2910313399482174
concat_all,6,0.6359619698026243,-1.8911920824335064
lab_only,1,0.5206793077385875,-4.111576412506971
lab_only,3,0.6671203765854252,-2.903769643747518
lab_only,6,0.5860135642087756,-2.6287760081944445
logistic,1,0.31321919428942224,-5.6364798071464595
logistic,3,0.4186684946784375,-4.17153650137044
logistic,6,0.4457640553442798,-3.549326447279236
phys_only,1,0.7951351918061541,-2.8960520528672484
phys_only,3,0.7904590781114542,-2.352144434530833
phys_only,6,0.7783933257101063,-1.9546657052907563
text_only,1,-0.5154650048725155,-7.792294602226926
text_only,3,-0.10522255178566986,-4.656520275090494
text_only,6,-0.02803874405399366,-3.7777158839650684
multimodal_all,1,0.9987458665771506,-2.3271266353221125
multimodal_all,3,1.0827957845396257,-1.8094974486213262
multimodal_all,6,1.0910162699392902,-1.566237920566551
ablation_all,1,0.9987458665771506,-2.3271266353221125
ablation_all,3,1.0827957845396257,-1.8094974486213262
ablation_all,6,1.0910162699392902,-1.566237920566551
ablation_lab,1,0.5502830671681074,-3.8923053850023197
ablation_lab,3,0.6769344471479105,-2.6542113877268707
ablation_lab,6,0.6715810260984088,-2.282203071120318
ablation_lab+text,1,0.41049327656552154,-4.429710369574152
ablation_lab+text,3,0.5002417328925239,-3.128830284603833
ablation_lab+text,6,0.49740549581021626,-2.6766460266857073
ablation_phys,1,0.8183719599893375,-3.0716192982680237
ablation_phys,3,0.8452417096574004,-2.464700056761997
ablation_phys,6,0.8474850189345784,-2.111426607447144
ablation_phys+lab,1,1.010043242238556,-2.22809397632053
ablation_phys+lab,3,1.1128535761790022,-1.6905759568114775
ablation_phys+lab,6,1.1354555314473507,-1.4472948390949765
ablation_phys+text,1,0.8208192073002659,-3.1029611193289663
ablation_phys+text,3,0.8285613222028569,-2.5128748899285567
ablation_phys+text,6,0.8273359323816823,-2.1551501571130216
ablation_text,1,-0.9390888110558668,-9.347076739581244
ablation_text,3,-0.537813546284022,-5.76881999935393
ablation_text,6,-0.25735828308475484,-4.273680254522802
