model,split,horizon_h,n,n_pos,prevalence,auroc,auprc,brier,ece,specificity_at_sens80,threshold_at_sens80,specificity_at_sens90,threshold_at_sens90,brier_calibrated,ece_calibrated
concat_all,validation,1,14774,38,0.0025720860971977797,0.7701957969026803,0.08199406462409764,0.005203542239825274,0.01628070835965028,0.48839576547231267,0.0025416333228349,0.2534609120521173,0.0012220668140798,0.0025361493958829997,0.0006698480736895705
concat_all,validation,3,14774,178,0.012048192771084338,0.8041403909336404,0.13754001178413827,0.021036736766698712,0.038042085828155596,0.6084543710605645,0.0150627139955759,0.3639353247465059,0.0065254997462034,0.011255320491617085,0.0013796140780504037
concat_all,validation,6,14774,349,0.023622580208474346,0.7923326364507656,0.19967262457971124,0.03241117107037328,0.04196677218165386,0.5632582322357019,0.0169919990003108,0.36145580589254767,0.0088789509609341,0.0211949801362786,0.0022756303073702524
concat_all,test,1,12485,41,0.0032839407288746494,0.8566984970717596,0.04804473197086488,0.005678591450825266,0.017967363457529417,0.727579556412729,0.0096407337114214,0.6144326583092253,0.0048966547474265,0.003235952856771478,0.0010495763768512056
concat_all,test,3,12485,169,0.013536243492190628,0.8332149837321347,0.07704983815120788,0.024710754858309782,0.0440792763880131,0.762910035725885,0.0391582325100898,0.5489607015264697,0.0124916350468993,0.012908798489718307,0.0028242904019032673
concat_all,test,6,12485,322,0.02579094913896676,0.8046317540775072,0.10339465590950071,0.0396629759531303,0.04804919850466114,0.6936611033462139,0.0330336801707744,0.4805557839348845,0.0129380468279123,0.024231574607411807,0.0063744987833340965
lab_only,validation,1,14774,38,0.0025720860971977797,0.5722684153380193,0.007520857123236465,0.004705448484277226,0.0307502358045776,0.25176438653637345,0.0150000294670462,0.21009771986970682,0.0142805092036724,0.0025634603794215754,0.0008988408316852756
lab_only,validation,3,14774,178,0.012048192771084338,0.6159046575789581,0.024486556280977637,0.022483507389305664,0.08482769060906671,0.3101534667032063,0.0590036064386367,0.24321731981364758,0.0548767186701297,0.011861901563315472,0.00233863554413308
lab_only,validation,6,14774,349,0.023622580208474346,0.6077264578667448,0.03844700009640501,0.04141853672769141,0.1140025205003972,0.3314384748700173,0.0886978060007095,0.25421143847487004,0.0812739208340644,0.022966372193804978,0.005163383411681868
lab_only,test,1,12485,41,0.0032839407288746494,0.6390796622527459,0.006023821847124307,0.005783277051655214,0.029897009656855156,0.3398424943747991,0.0165977086871862,0.3081806493089039,0.0159315206110477,0.0032716299579172384,0.0010510819847376687
lab_only,test,3,12485,169,0.013536243492190628,0.6587594239273106,0.027843914559271196,0.023510850534426614,0.08212780822001313,0.3511692107827217,0.061728797852993,0.2612861318609938,0.0547283329069614,0.013290235049149609,0.004079300636264304
