perturbation,modalities_off,horizon_h,auroc,auprc,brier
full_model,none,1,0.8338527334164374,0.021535241655183,0.004224576101834819
full_model,none,3,0.8233528906449687,0.0833431512006655,0.01808658748836445
full_model,none,6,0.8027108995155352,0.11749662683087664,0.03185936841724598
off_lab,lab,1,0.8650030184004829,0.026116914314432787,0.0057969440660073914
off_lab,lab,3,0.8461322261319764,0.0891767541792928,0.023276120629528965
off_lab,lab,6,0.8245393957746816,0.12558921932994144,0.037523247057112144
off_text,text,1,0.8317457330793172,0.02501178790770333,0.004150053198764789
off_text,text,3,0.8253390499874124,0.09860651645603939,0.01792442187037744
off_text,text,6,0.8090890660658561,0.11802043847630286,0.031710850194249095
off_phys,phys,1,0.6031195364991258,0.005492495591089294,0.004185028876070754
off_phys,phys,3,0.6257026507107702,0.023146783413245116,0.018856339798015532
off_phys,phys,6,0.6351218924311233,0.04556949668402257,0.034475075165444874
off_lab+text,"lab,text",1,0.8625040180006428,0.027297086550657004,0.005845486081456664
off_lab+text,"lab,text",3,0.8476595605658489,0.09318187447735596,0.02381358440148293
off_lab+text,"lab,text",6,0.8275042984961518,0.12431026331097779,0.038389546058849366
off_phys+text,"phys,text",1,0.6267159802745568,0.005792851232517557,0.004114335653773146
off_phys+text,"phys,text",3,0.6428026466750327,0.03165554151137071,0.018291510699512892
off_phys+text,"phys,text",6,0.6512220393485384,0.046988069922589706,0.03337682492689844
off_phys+lab,"phys,lab",1,0.5763949322231892,0.004127492119443247,0.004158824172553898
off_phys+lab,"phys,lab",3,0.5647512448328147,0.015544785858499445,0.017996905654263238
off_phys+lab,"phys,lab",6,0.5649812101971001,0.029144488504980314,0.03256615110148701
lab_dropout_20pct,lab_random_20pct,1,0.8442152550744408,0.020381770747194362,0.004440841589259574
lab_dropout_20pct,lab_random_20pct,3,0.8293863180814489,0.08396326006284592,0.018830659788088518
lab_dropout_20pct,lab_random_20pct,6,0.8083986512399125,0.11601891402893998,0.032693499903052564
lab_dropout_40pct,lab_random_40pct,1,0.8538956966233114,0.023018214712245855,0.004626129208352184
lab_dropout_40pct,lab_random_40pct,3,0.834470866780308,0.08500171446213481,0.01955009216319027
lab_dropout_40pct,lab_random_40pct,6,0.8122255511701051,0.11924792896287023,0.03350905169718393
lab_dropout_60pct,lab_random_60pct,1,0.8614181778269085,0.022670908559082457,0.004879961705773071
lab_dropout_60pct,lab_random_60pct,3,0.8377628754436908,0.08736048196737382,0.020444560808482205
lab_dropout_60pct,lab_random_60pct,6,0.814780137092281,0.12028985722842837,0.03455087850600997
note_delay_60min,text_delayed_60min,1,0.8301287328205973,0.023199587333460572,0.004271283739375686
note_delay_60min,text_delayed_60min,3,0.8243065738318943,0.09934688629946538,0.01835197679284032
note_delay_60min,text_delayed_60min,6,0.8075619317929388,0.12292805339400506,0.032207905273334746
note_delay_180min,text_delayed_180min,1,0.8309617329538772,0.024686249902242573,0.004206271984517311
note_delay_180min,text_delayed_180min,3,0.8261853537323844,0.10319780233346598,0.018045491622636786
note_delay_180min,text_delayed_180min,6,0.8089473574015074,0.12715641812770462,0.03178901335316315
