model,split,horizon_h,auroc,auprc,brier,n,n_pos
multimodal_all,validation,1,0.7654740985199154,0.03309160791435382,0.004174098901155901,14774,38
multimodal_all,validation,3,0.7946420598532459,0.138473365877088,0.01854881196027641,14774,178
multimodal_all,validation,6,0.7897273219349169,0.19807010288293433,0.03179855058153661,14774,349
multimodal_all,test,1,0.8338527334164374,0.021535241655183,0.004224576101834819,12485,41
multimodal_all,test,3,0.8233528906449687,0.0833431512006655,0.01808658748836445,12485,169
multimodal_all,test,6,0.8027108995155352,0.11749662683087664,0.03185936841724598,12485,322
ablation_phys,validation,1,0.7677956597519857,0.032997340785168756,0.006374202429843673,14774,38
ablation_phys,validation,3,0.8009201381939333,0.10361794767011685,0.02628885724270247,14774,178
ablation_phys,validation,6,0.792640522810903,0.15724817788158077,0.040142126437798485,14774,349
ablation_phys,test,1,0.8625040180006428,0.027297086550657004,0.005845486081456664,12485,41
ablation_phys,test,3,0.8476595605658489,0.09318187447735596,0.02381358440148293,12485,169
ablation_phys,test,6,0.8275042984961518,0.12431026331097779,0.038389546058849366,12485,322
ablation_lab,validation,1,0.604277387279273,0.0302465393938766,0.0033729464623239343,14774,38
ablation_lab,validation,3,0.6204616625764793,0.02132960707861138,0.016941623518651354,14774,178
ablation_lab,validation,6,0.6166443366290415,0.03847156147439855,0.03224211949218929,14774,349
ablation_lab,test,1,0.6267159802745568,0.005792851232517557,0.004114335653773146,12485,41
ablation_lab,test,3,0.6428026466750327,0.03165554151137071,0.018291510699512892,12485,169
ablation_lab,test,6,0.6512220393485384,0.046988069922589706,0.03337682492689844,12485,322
ablation_text,validation,1,0.41433349762843596,0.0022194341972615692,0.0033929346759548834,14774,38
ablation_text,validation,3,0.4570847869664153,0.01241011981311137,0.01648448323958251,14774,178
ablation_text,validation,6,0.47459887869774,0.02678371466775125,0.030635175755919175,14774,349
ablation_text,test,1,0.5763949322231892,0.004127492119443247,0.004158824172553898,12485,41
ablation_text,test,3,0.5647512448328147,0.015544785858499445,0.017996905654263238,12485,169
ablation_text,test,6,0.5649812101971001,0.029144488504980314,0.03256615110148701,12485,322
ablation_phys+lab,validation,1,0.7711601377221554,0.034192270114474614,0.00393114272753303,14774,38
ablation_phys+lab,validation,3,0.8053572473295746,0.1352923340345922,0.01751570737349864,14774,178
ablation_phys+lab,validation,6,0.7982255813838002,0.20189034675931694,0.03038808401886013,14774,349
ablation_phys+lab,test,1,0.8317457330793172,0.02501178790770333,0.004150053198764789,12485,41
ablation_phys+lab,test,3,0.8253390499874124,0.09860651645603939,0.01792442187037744,12485,169
ablation_phys+lab,test,6,0.8090890660658561,0.11802043847630286,0.031710850194249095,12485,322
ablation_phys+text,validation,1,0.7634168381050346,0.03013944271019287,0.00668125622993435,14774,38
ablation_phys+text,validation,3,0.7919862606655356,0.10077619086578797,0.027203459345605228,14774,178
ablation_phys+text,validation,6,0.7842717742696389,0.14964282453126476,0.04135165162124527,14774,349
ablation_phys+text,test,1,0.8650030184004829,0.026116914314432787,0.0057969440660073914,12485,41
ablation_phys+text,test,3,0.8461322261319764,0.0891767541792928,0.023276120629528965,12485,169
ablation_phys+text,test,6,0.8245393957746816,0.12558921932994144,0.037523247057112144,12485,322
ablation_lab+text,validation,1,0.584106591805246,0.012126191251666169,0.003522880020322325,14774,38
ablation_lab+text,validation,3,0.5967086180298742,0.018172373728981225,0.01793815052390631,14774,178
ablation_lab+text,validation,6,0.5955872932319627,0.03350147870470348,0.03412930890668623,14774,349
ablation_lab+text,test,1,0.6031195364991258,0.005492495591089294,0.004185028876070754,12485,41
ablation_lab+text,test,3,0.6257026507107702,0.023146783413245116,0.018856339798015532,12485,169
ablation_lab+text,test,6,0.6351218924311233,0.04556949668402257,0.034475075165444874,12485,322
ablation_all,validation,1,0.7654740985199154,0.03309160791435382,0.004174098901155901,14774,38
ablation_all,validation,3,0.7946420598532459,0.138473365877088,0.01854881196027641,14774,178
ablation_all,validation,6,0.7897273219349169,0.19807010288293433,0.03179855058153661,14774,349
ablation_all,test,1,0.8338527334164374,0.021535241655183,0.004224576101834819,12485,41
ablation_all,test,3,0.8233528906449687,0.0833431512006655,0.01808658748836445,12485,169
ablation_all,test,6,0.8027108995155352,0.11749662683087664,0.03185936841724598,12485,322
